Instancia;Algoritmo;MelhorSolucao;MediaSolucoes;TempoMedio
resultados.csv;Guloso;12;12;0.000152238
resultados.csv;Randomizado_0.2;11;11.2;0.0052337
resultados.csv;Randomizado_0.3;11;11.6;0.00509891
resultados.csv;Randomizado_0.4;12;12;0.00525479
resultados.csv;Reativo;11;11;0.0520283
resultados.csv;Guloso;13;13;0.000172383
resultados.csv;Randomizado_0.2;11;11.8;0.00544041
resultados.csv;Randomizado_0.3;12;12.6;0.00528121
resultados.csv;Randomizado_0.4;12;12.4;0.00531341
resultados.csv;Reativo;11;11.5;0.0534921
resultados.csv;Guloso;13;13;0.000206082
resultados.csv;Randomizado_0.2;9;10.1;0.00688528
resultados.csv;Randomizado_0.3;10;10.3;0.00668124
resultados.csv;Randomizado_0.4;11;11.1;0.00633356
resultados.csv;Reativo;10;10;0.0656444
resultados.csv;Guloso;9;9;0.000203035
resultados.csv;Randomizado_0.2;9;9.3;0.00665736
resultados.csv;Randomizado_0.3;9;9.7;0.00644065
resultados.csv;Randomizado_0.4;9;9.8;0.00636103
resultados.csv;Reativo;9;9.1;0.0657663
resultados.csv;Guloso;10;10;0.000218366
resultados.csv;Randomizado_0.2;8;8.1;0.00767537
resultados.csv;Randomizado_0.3;8;8.8;0.00704238
resultados.csv;Randomizado_0.4;8;8.7;0.0071759
resultados.csv;Reativo;8;8;0.0710717
resultados.csv;Guloso;9;9;0.000239133
resultados.csv;Randomizado_0.2;7;7.9;0.00723408
resultados.csv;Randomizado_0.3;8;8.2;0.00703315
resultados.csv;Randomizado_0.4;8;8.9;0.0072573
resultados.csv;Reativo;8;8;0.0732985
